Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,WAS,2014-10-29,75,7,20,@,MIA,L 95-107,240,20,7,2,14,20,20,9,3,14,17,240,36,75,0.48,30,56,0.536,6,19,0.316,17,24,0.708,95,39,81,0.481,30,53,0.566,9,28,0.321,20,23,0.87,107,240,7,29,36,12,32,44
2,WAS,2014-10-30,80,6,22,@,ORL,W 105-98,240,22,10,0,12,25,20,4,1,18,23,240,39,80,0.488,32,67,0.478,7,13,0.538,20,26,0.769,105,37,72,0.514,31,57,0.544,6,15,0.4,18,24,0.75,98,240,6,31,37,3,30,33
3,WAS,2014-11-01,73,6,28,,MIL,W 108-97,240,28,18,5,19,21,18,11,3,27,28,240,40,73,0.548,36,60,0.6,4,13,0.308,24,33,0.727,108,34,80,0.425,25,58,0.431,9,22,0.409,20,24,0.833,97,240,6,28,34,16,26,42
4,WAS,2014-11-04,80,10,26,@,NYK,W 98-83,240,26,8,4,12,25,16,5,4,18,23,240,39,80,0.488,31,62,0.5,8,18,0.444,12,19,0.632,98,30,81,0.37,22,66,0.333,8,15,0.533,15,19,0.789,83,240,10,31,41,15,28,43
5,WAS,2014-11-05,91,7,24,,IND,W 96-94 (OT),265,24,7,7,12,22,22,3,9,18,27,265,34,91,0.374,27,74,0.365,7,17,0.412,21,23,0.913,96,35,90,0.389,27,63,0.429,8,27,0.296,16,20,0.8,94,265,7,36,43,14,43,57
6,WAS,2014-11-07,83,16,19,@,TOR,L 84-103,240,19,7,5,13,29,19,5,3,13,27,240,30,83,0.361,27,64,0.422,3,19,0.158,21,32,0.656,84,35,80,0.438,26,58,0.448,9,22,0.409,24,31,0.774,103,240,16,34,50,10,39,49
7,WAS,2014-11-08,81,13,23,@,IND,W 97-90,240,23,8,4,14,25,11,5,3,18,24,240,39,81,0.481,37,70,0.529,2,11,0.182,17,23,0.739,97,33,77,0.429,25,53,0.472,8,24,0.333,16,25,0.64,90,240,13,36,49,8,30,38
8,WAS,2014-11-12,83,11,27,,DET,W 107-103,240,27,10,6,11,22,19,5,6,13,25,240,40,83,0.482,37,72,0.514,3,11,0.273,24,33,0.727,107,38,81,0.469,29,59,0.492,9,22,0.409,18,22,0.818,103,240,11,35,46,7,32,39
9,WAS,2014-11-15,84,9,31,,ORL,W 98-93,240,31,5,8,11,16,14,5,2,15,21,240,42,84,0.5,39,74,0.527,3,10,0.3,11,16,0.688,98,37,78,0.474,30,61,0.492,7,17,0.412,12,18,0.667,93,240,9,31,40,9,31,40
10,WAS,2014-11-19,84,9,25,,DAL,L 102-105,240,25,8,3,13,27,18,5,5,12,19,240,37,84,0.44,27,62,0.435,10,22,0.455,18,21,0.857,102,34,82,0.415,22,54,0.407,12,28,0.429,25,29,0.862,105,240,9,33,42,10,34,44
11,WAS,2014-11-21,84,10,24,,CLE,W 91-78,240,24,10,5,17,21,13,12,4,19,21,240,41,84,0.488,37,74,0.5,4,10,0.4,5,9,0.556,91,27,75,0.36,21,48,0.438,6,27,0.222,18,23,0.783,78,240,10,35,45,9,32,41
12,WAS,2014-11-22,93,20,27,@,MIL,W 111-100,240,27,7,6,14,24,21,11,7,14,20,240,43,93,0.462,35,75,0.467,8,18,0.444,17,22,0.773,111,36,84,0.429,31,69,0.449,5,15,0.333,23,26,0.885,100,240,20,33,53,8,28,36
