Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2000-10-31,81,29,14,,CHH,L 82-106,240,14,9,2,13,31,16,7,6,17,23,240,30,81,0.37,24,66,0.364,6,15,0.4,16,21,0.762,82,35,62,0.565,30,53,0.566,5,9,0.556,31,40,0.775,106,240,11,18,29,7,37,44
2,ATL,2000-11-02,78,40,20,@,NYK,L 69-94,240,20,6,1,17,21,22,4,5,12,21,240,26,78,0.333,22,63,0.349,4,15,0.267,13,15,0.867,69,34,68,0.5,27,55,0.491,7,13,0.538,19,21,0.905,94,240,14,26,40,2,34,36
3,ATL,2000-11-04,88,43,25,,ORL,L 104-107,240,25,15,1,16,25,14,5,6,22,23,240,39,88,0.443,33,72,0.458,6,16,0.375,20,29,0.69,104,37,73,0.507,33,59,0.559,4,14,0.286,29,35,0.829,107,240,23,20,43,15,25,40
4,ATL,2000-11-06,80,44,17,@,VAN,L 87-97,240,17,11,9,22,36,20,11,4,14,22,240,32,80,0.4,28,71,0.394,4,9,0.444,19,24,0.792,87,31,79,0.392,30,73,0.411,1,6,0.167,34,47,0.723,97,240,12,32,44,14,33,47
5,ATL,2000-11-07,84,46,19,@,POR,L 88-97,240,19,8,1,13,18,27,6,15,18,25,240,31,84,0.369,28,72,0.389,3,12,0.25,23,30,0.767,88,40,83,0.482,32,64,0.5,8,19,0.421,9,11,0.818,97,240,16,30,46,10,33,43
6,ATL,2000-11-09,81,44,18,@,PHO,L 79-88,240,18,9,10,20,19,21,14,10,17,19,240,33,81,0.407,31,74,0.419,2,7,0.286,11,16,0.688,79,36,88,0.409,32,73,0.438,4,15,0.267,12,21,0.571,88,240,12,32,44,16,34,50
7,ATL,2000-11-10,70,22,20,@,LAC,L 106-115,240,20,11,4,17,23,21,10,10,20,25,240,37,70,0.529,31,57,0.544,6,13,0.462,26,28,0.929,106,43,73,0.589,34,57,0.596,9,16,0.563,20,25,0.8,115,240,5,17,22,9,21,30
8,ATL,2000-11-14,75,32,12,,POR,W 99-97,240,12,9,2,16,27,14,10,6,18,21,240,37,75,0.493,31,59,0.525,6,16,0.375,19,30,0.633,99,37,73,0.507,36,67,0.537,1,6,0.167,22,33,0.667,97,240,9,23,32,13,21,34
9,ATL,2000-11-15,69,43,17,@,MIL,L 74-84,240,17,8,2,22,23,20,9,5,12,23,240,27,69,0.391,22,54,0.407,5,15,0.333,15,23,0.652,74,33,71,0.465,24,52,0.462,9,19,0.474,9,20,0.45,84,240,14,29,43,10,27,37
10,ATL,2000-11-17,73,33,18,@,BOS,L 99-106,240,18,8,4,17,24,22,10,2,12,18,240,37,73,0.507,29,56,0.518,8,17,0.471,17,20,0.85,99,35,79,0.443,25,58,0.431,10,21,0.476,26,34,0.765,106,240,7,26,33,17,22,39
11,ATL,2000-11-18,72,32,12,,MIN,L 84-94,240,12,7,4,16,27,12,8,3,17,27,240,30,72,0.417,27,58,0.466,3,14,0.214,21,27,0.778,84,29,62,0.468,25,52,0.481,4,10,0.4,32,34,0.941,94,240,8,24,32,5,31,36
12,ATL,2000-11-22,68,42,15,,NYK,W 78-74,240,15,7,7,19,16,16,10,4,13,24,240,27,68,0.397,22,53,0.415,5,15,0.333,19,22,0.864,78,29,71,0.408,22,56,0.393,7,15,0.467,9,11,0.818,74,240,15,27,42,8,22,30
13,ATL,2000-11-24,77,36,16,,PHI,L 67-76,240,16,11,6,13,27,11,9,8,16,16,240,27,77,0.351,21,58,0.362,6,19,0.316,7,9,0.778,67,28,75,0.373,26,66,0.394,2,9,0.222,18,32,0.563,76,240,6,30,36,13,41,54
14,ATL,2000-11-25,78,38,20,@,ORL,L 92-114,240,20,10,8,20,35,26,8,3,20,28,240,34,78,0.436,32,67,0.478,2,11,0.182,22,32,0.688,92,42,93,0.452,34,74,0.459,8,19,0.421,22,29,0.759,114,240,13,25,38,24,30,54
15,ATL,2000-11-28,81,50,19,@,WAS,W 102-75,240,19,5,9,20,25,14,13,6,15,26,240,39,81,0.481,34,72,0.472,5,9,0.556,19,30,0.633,102,27,82,0.329,25,74,0.338,2,8,0.25,19,22,0.864,75,240,16,34,50,10,28,38
16,ATL,2000-11-30,72,38,8,,CHI,L 82-91,240,8,9,4,17,26,16,9,4,17,26,240,28,72,0.389,24,60,0.4,4,12,0.333,22,32,0.688,82,34,73,0.466,34,70,0.486,0,3,0,23,28,0.821,91,240,12,26,38,13,29,42
17,ATL,2000-12-02,83,47,13,,MIL,W 101-94,240,13,9,4,14,25,21,7,5,17,30,240,34,83,0.41,31,69,0.449,3,14,0.214,30,39,0.769,101,35,80,0.438,29,64,0.453,6,16,0.375,18,27,0.667,94,240,14,33,47,10,32,42
18,ATL,2000-12-05,73,33,14,,MIA,L 92-100,240,14,8,1,15,25,23,6,0,14,19,240,36,73,0.493,31,62,0.5,5,11,0.455,15,19,0.789,92,35,69,0.507,29,59,0.492,6,10,0.6,24,29,0.828,100,240,10,23,33,12,26,38
19,ATL,2000-12-08,70,52,13,@,MIA,L 76-80,240,13,4,5,21,26,17,15,4,9,21,240,28,70,0.4,24,61,0.393,4,9,0.444,16,25,0.64,76,27,72,0.375,24,60,0.4,3,12,0.25,23,28,0.821,80,240,16,36,52,7,25,32
20,ATL,2000-12-09,87,37,24,@,CLE,L 90-97,240,24,8,7,14,21,19,8,11,15,19,240,38,87,0.437,35,73,0.479,3,14,0.214,11,15,0.733,90,36,74,0.486,36,70,0.514,0,4,0,25,30,0.833,97,240,13,24,37,11,29,40
21,ATL,2000-12-12,80,49,13,,SAC,W 107-99,240,13,7,7,13,23,18,10,4,12,23,240,36,80,0.45,30,67,0.448,6,13,0.462,29,37,0.784,107,36,87,0.414,28,71,0.394,8,16,0.5,19,26,0.731,99,240,8,41,49,10,38,48
22,ATL,2000-12-13,79,41,17,@,DET,L 69-92,240,17,9,5,17,24,24,7,4,15,22,240,25,79,0.316,22,64,0.344,3,15,0.2,16,22,0.727,69,35,81,0.432,31,70,0.443,4,11,0.364,18,24,0.75,92,240,8,33,41,9,44,53
23,ATL,2000-12-15,79,54,18,@,CHI,W 85-74,240,18,4,3,15,22,17,9,6,12,30,240,29,79,0.367,27,74,0.365,2,5,0.4,25,35,0.714,85,28,81,0.346,27,68,0.397,1,13,0.077,17,20,0.85,74,240,16,38,54,10,32,42
24,ATL,2000-12-16,80,46,17,,NJN,L 83-89,240,17,6,5,20,20,15,12,9,8,18,240,35,80,0.438,30,69,0.435,5,11,0.455,8,9,0.889,83,35,80,0.438,32,70,0.457,3,10,0.3,16,24,0.667,89,240,13,33,46,9,26,35
25,ATL,2000-12-19,75,45,17,,NYK,W 87-77,240,17,4,5,13,19,20,4,2,11,24,240,34,75,0.453,29,62,0.468,5,13,0.385,14,17,0.824,87,31,80,0.388,25,63,0.397,6,17,0.353,9,16,0.563,77,240,10,35,45,13,28,41
26,ATL,2000-12-22,81,50,18,@,TOR,W 78-72,240,18,6,10,13,13,27,7,7,10,14,240,32,81,0.395,29,74,0.392,3,7,0.429,11,11,1,78,33,93,0.355,32,85,0.376,1,8,0.125,5,5,1,72,240,10,40,50,14,34,48
27,ATL,2000-12-23,80,46,17,,IND,W 91-87,240,17,5,3,12,20,13,4,5,10,18,240,37,80,0.463,36,75,0.48,1,5,0.2,16,18,0.889,91,32,76,0.421,29,61,0.475,3,15,0.2,20,25,0.8,87,240,17,29,46,13,24,37
28,ATL,2000-12-26,79,58,18,@,NJN,W 81-76,240,18,3,6,17,19,20,10,6,10,25,240,27,79,0.342,25,70,0.357,2,9,0.222,25,28,0.893,81,27,88,0.307,21,72,0.292,6,16,0.375,16,21,0.762,76,240,18,40,58,15,30,45
29,ATL,2000-12-28,75,50,19,@,MIN,L 81-88,240,19,6,2,18,23,25,10,5,9,18,240,31,75,0.413,29,66,0.439,2,9,0.222,17,21,0.81,81,31,77,0.403,30,69,0.435,1,8,0.125,25,29,0.862,88,240,14,36,50,9,26,35
30,ATL,2000-12-29,77,39,12,,CLE,L 85-97,240,12,6,5,18,21,16,11,1,13,21,240,35,77,0.455,33,71,0.465,2,6,0.333,13,19,0.684,85,37,75,0.493,34,68,0.5,3,7,0.429,20,21,0.952,97,240,13,26,39,8,26,34
31,ATL,2001-01-02,70,41,16,,BOS,W 92-81,240,16,9,4,16,23,11,7,1,15,24,240,36,70,0.514,34,65,0.523,2,5,0.4,18,25,0.72,92,29,77,0.377,25,60,0.417,4,17,0.235,19,24,0.792,81,240,8,33,41,12,24,36
32,ATL,2001-01-03,86,36,20,@,PHI,L 80-98,240,20,9,2,13,19,27,4,7,15,14,240,34,86,0.395,30,73,0.411,4,13,0.308,8,9,0.889,80,37,79,0.468,33,71,0.465,4,8,0.5,20,25,0.8,98,240,10,26,36,16,37,53
33,ATL,2001-01-06,75,48,14,,ORL,W 83-82,240,14,3,3,17,25,12,4,8,12,24,240,32,75,0.427,30,67,0.448,2,8,0.25,17,25,0.68,83,31,86,0.36,26,71,0.366,5,15,0.333,15,21,0.714,82,240,12,36,48,20,27,47
34,ATL,2001-01-09,82,50,18,,SEA,L 86-95,240,18,6,4,16,25,19,5,2,12,20,240,35,82,0.427,31,70,0.443,4,12,0.333,12,19,0.632,86,33,81,0.407,28,65,0.431,5,16,0.313,24,34,0.706,95,240,15,35,50,18,32,50
35,ATL,2001-01-11,81,39,22,,GSW,W 107-96,240,22,8,6,15,17,18,11,3,18,19,240,42,81,0.519,40,77,0.519,2,4,0.5,21,22,0.955,107,37,86,0.43,32,68,0.471,5,18,0.278,17,18,0.944,96,240,10,29,39,18,23,41
36,ATL,2001-01-13,88,39,29,,LAC,W 108-88,240,29,6,3,11,24,16,6,6,19,18,240,46,88,0.523,43,85,0.506,3,3,1,13,16,0.813,108,30,69,0.435,26,56,0.464,4,13,0.308,24,31,0.774,88,240,12,27,39,7,27,34
37,ATL,2001-01-15,70,49,11,,NJN,L 78-84,240,11,7,8,22,22,15,14,4,11,21,240,28,70,0.4,25,61,0.41,3,9,0.333,19,23,0.826,78,31,84,0.369,26,69,0.377,5,15,0.333,17,22,0.773,84,240,8,41,49,10,29,39
38,ATL,2001-01-18,86,45,16,@,IND,L 76-84,240,16,7,3,10,23,22,4,5,14,16,240,32,86,0.372,32,82,0.39,0,4,0,12,16,0.75,76,29,71,0.408,27,57,0.474,2,14,0.143,24,30,0.8,84,240,11,34,45,9,44,53
39,ATL,2001-01-21,81,45,23,@,WAS,L 90-94,240,23,8,5,17,22,22,3,8,14,16,240,36,81,0.444,34,77,0.442,2,4,0.5,16,19,0.842,90,37,81,0.457,33,69,0.478,4,12,0.333,16,21,0.762,94,240,11,34,45,11,31,42
40,ATL,2001-01-23,69,48,14,@,BOS,L 82-83,240,14,13,5,23,19,20,15,2,16,19,240,31,69,0.449,30,63,0.476,1,6,0.167,19,25,0.76,82,32,84,0.381,28,72,0.389,4,12,0.333,15,22,0.682,83,240,12,36,48,15,22,37
41,ATL,2001-01-26,78,33,25,,WAS,L 99-106,240,25,8,5,14,21,23,7,6,14,16,240,41,78,0.526,36,65,0.554,5,13,0.385,12,16,0.75,99,41,76,0.539,31,61,0.508,10,15,0.667,14,16,0.875,106,240,10,23,33,11,21,32
42,ATL,2001-01-27,90,42,25,@,CLE,W 101-90,240,25,11,9,12,19,17,11,10,19,21,240,45,90,0.5,42,86,0.488,3,4,0.75,8,10,0.8,101,35,79,0.443,34,72,0.472,1,7,0.143,19,27,0.704,90,240,14,28,42,18,28,46
43,ATL,2001-01-29,79,48,15,,PHO,L 82-95,240,15,8,3,23,21,24,10,7,17,18,240,32,79,0.405,31,75,0.413,1,4,0.25,17,19,0.895,82,38,80,0.475,32,66,0.485,6,14,0.429,13,24,0.542,95,240,11,37,48,8,32,40
44,ATL,2001-01-31,90,55,14,,TOR,W 102-97,240,14,8,8,11,21,20,7,4,11,21,240,39,90,0.433,37,84,0.44,2,6,0.333,22,25,0.88,102,37,89,0.416,30,74,0.405,7,15,0.467,16,25,0.64,97,240,21,34,55,17,27,44
45,ATL,2001-02-02,79,38,17,,MIA,L 80-91,240,17,8,4,14,23,18,8,2,14,16,240,35,79,0.443,35,73,0.479,0,6,0,10,15,0.667,80,29,74,0.392,21,60,0.35,8,14,0.571,25,31,0.806,91,240,7,31,38,14,37,51
46,ATL,2001-02-03,84,48,15,@,ORL,L 84-96,240,15,8,7,17,28,18,12,7,12,21,240,33,84,0.393,31,77,0.403,2,7,0.286,16,19,0.842,84,33,91,0.363,27,71,0.38,6,20,0.3,24,34,0.706,96,240,13,35,48,21,35,56
47,ATL,2001-02-05,86,53,19,,DAL,L 81-91,240,19,9,2,15,20,17,9,11,11,19,240,32,86,0.372,29,77,0.377,3,9,0.333,14,22,0.636,81,36,78,0.462,32,68,0.471,4,10,0.4,15,19,0.789,91,240,17,36,53,6,35,41
48,ATL,2001-02-06,72,49,18,@,NJN,L 84-90,240,18,7,4,27,29,19,13,10,16,30,240,29,72,0.403,25,60,0.417,4,12,0.333,22,28,0.786,84,30,79,0.38,26,68,0.382,4,11,0.364,26,32,0.813,90,240,13,36,49,12,25,37
49,ATL,2001-02-08,80,43,20,@,CHH,L 84-101,240,20,3,5,17,16,29,11,9,6,17,240,34,80,0.425,31,70,0.443,3,10,0.3,13,17,0.765,84,40,88,0.455,35,75,0.467,5,13,0.385,16,20,0.8,101,240,12,31,43,12,31,43
50,ATL,2001-02-13,83,44,20,@,CHI,L 92-96,240,20,8,11,11,20,32,5,8,15,24,240,36,83,0.434,35,79,0.443,1,4,0.25,19,30,0.633,92,37,83,0.446,32,71,0.451,5,12,0.417,17,23,0.739,96,240,13,31,44,10,35,45
51,ATL,2001-02-14,89,50,21,,MIL,L 98-102,240,21,6,7,13,22,20,6,9,13,19,240,37,89,0.416,32,82,0.39,5,7,0.714,19,23,0.826,98,39,86,0.453,34,74,0.459,5,12,0.417,19,23,0.826,102,240,18,32,50,11,35,46
52,ATL,2001-02-17,81,44,28,@,SEA,W 101-94,240,28,5,7,16,18,20,8,5,9,20,240,41,81,0.506,35,70,0.5,6,11,0.545,13,17,0.765,101,39,87,0.448,36,78,0.462,3,9,0.333,13,17,0.765,94,240,12,32,44,7,24,31
