Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2004-11-03,32,54,14,@,PHO,L 82-112,240,14,9,4,24,24,15,13,8,21,26,240,32,96,0.333,27,81,0.333,5,15,0.333,13,23,0.565,82,45,89,0.506,40,70,0.571,5,19,0.263,17,25,0.68,112,240,27,27,54,17,38,55
2,ATL,2004-11-05,31,28,14,@,SEA,L 85-106,240,14,6,2,18,26,17,11,10,15,27,240,31,74,0.419,26,64,0.406,5,10,0.5,18,24,0.75,85,37,73,0.507,30,50,0.6,7,23,0.304,25,34,0.735,106,240,11,17,28,13,21,34
3,ATL,2004-11-07,37,31,24,@,LAL,L 90-106,240,24,12,4,11,24,21,4,7,18,19,240,37,86,0.43,33,68,0.485,4,18,0.222,12,17,0.706,90,37,66,0.561,31,54,0.574,6,12,0.5,26,31,0.839,106,240,12,19,31,7,33,40
4,ATL,2004-11-09,32,33,19,,CLE,L 79-93,240,19,8,2,16,27,18,8,5,16,25,240,32,73,0.438,31,62,0.5,1,11,0.091,14,23,0.609,79,31,66,0.47,29,58,0.5,2,8,0.25,29,36,0.806,93,240,10,23,33,10,29,39
5,ATL,2004-11-12,38,30,27,@,NOH,W 96-95,240,27,10,2,12,24,27,7,4,20,23,240,38,76,0.5,32,64,0.5,6,12,0.5,14,22,0.636,96,33,75,0.44,25,52,0.481,8,23,0.348,21,22,0.955,95,240,7,23,30,14,29,43
6,ATL,2004-11-13,33,49,15,,SAS,L 88-103,240,15,10,0,12,28,23,5,7,14,21,240,33,84,0.393,28,74,0.378,5,10,0.5,17,24,0.708,88,34,78,0.436,25,61,0.41,9,17,0.529,26,36,0.722,103,240,12,37,49,11,40,51
7,ATL,2004-11-16,35,40,21,,HOU,W 88-84,240,21,9,2,16,14,19,9,4,18,21,240,35,75,0.467,33,65,0.508,2,10,0.2,16,26,0.615,88,36,76,0.474,33,55,0.6,3,21,0.143,9,11,0.818,84,240,9,31,40,4,33,37
8,ATL,2004-11-17,33,36,20,@,IND,L 86-93,240,20,12,4,12,28,20,7,6,18,23,240,33,78,0.423,27,61,0.443,6,17,0.353,14,23,0.609,86,31,68,0.456,25,54,0.463,6,14,0.429,25,29,0.862,93,240,11,25,36,12,35,47
9,ATL,2004-11-20,32,37,16,,UTA,L 79-92,240,16,7,5,10,28,25,2,10,16,17,240,32,81,0.395,27,64,0.422,5,17,0.294,10,22,0.455,79,36,74,0.486,33,64,0.516,3,10,0.3,17,21,0.81,92,240,17,20,37,14,32,46
10,ATL,2004-11-23,39,36,18,@,NYK,L 88-104,240,18,13,5,14,23,23,9,4,19,18,240,39,84,0.464,38,72,0.528,1,12,0.083,9,16,0.563,88,36,77,0.468,34,65,0.523,2,12,0.167,30,38,0.789,104,240,6,30,36,13,42,55
