Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2012-11-02,40,36,23,,HOU,L 102-109,240,23,12,4,13,26,22,8,2,21,18,240,40,85,0.471,33,63,0.524,7,22,0.318,15,17,0.882,102,38,90,0.422,30,60,0.5,8,30,0.267,25,29,0.862,109,240,7,29,36,23,35,58
2,ATL,2012-11-04,41,38,20,@,OKC,W 104-95,240,20,12,1,10,20,27,4,9,20,21,240,41,83,0.494,33,58,0.569,8,25,0.32,14,20,0.7,104,33,71,0.465,24,49,0.49,9,22,0.409,20,22,0.909,95,240,12,26,38,7,30,37
3,ATL,2012-11-07,38,51,24,,IND,W 89-86,240,24,8,3,17,15,18,10,7,15,14,240,38,87,0.437,31,65,0.477,7,22,0.318,6,12,0.5,89,35,85,0.412,27,59,0.458,8,26,0.308,8,9,0.889,86,240,17,34,51,11,30,41
4,ATL,2012-11-09,34,36,20,,MIA,L 89-95,240,20,4,5,13,16,22,8,2,14,22,240,34,81,0.42,25,56,0.446,9,25,0.36,12,16,0.75,89,37,76,0.487,30,54,0.556,7,22,0.318,14,16,0.875,95,240,7,29,36,8,28,36
5,ATL,2012-11-11,30,41,20,@,LAC,L 76-89,240,20,3,9,22,12,21,12,6,13,22,240,30,72,0.417,21,47,0.447,9,25,0.36,7,16,0.438,76,38,82,0.463,33,67,0.493,5,15,0.333,8,8,1,89,240,10,31,41,8,30,38
6,ATL,2012-11-12,35,41,20,@,POR,W 95-87,240,20,14,4,16,22,15,13,6,20,19,240,35,79,0.443,28,61,0.459,7,18,0.389,18,22,0.818,95,30,83,0.361,24,60,0.4,6,23,0.261,21,26,0.808,87,240,6,35,41,16,31,47
7,ATL,2012-11-14,34,29,21,@,GSW,L 88-92,240,21,11,4,12,18,23,7,1,23,22,240,34,78,0.436,27,55,0.491,7,23,0.304,13,18,0.722,88,33,71,0.465,28,53,0.528,5,18,0.278,21,25,0.84,92,240,5,24,29,10,34,44
8,ATL,2012-11-16,42,42,24,@,SAC,W 112-96,240,24,8,5,15,14,25,11,0,14,22,240,42,76,0.553,34,61,0.557,8,15,0.533,20,27,0.741,112,39,85,0.459,31,65,0.477,8,20,0.4,10,14,0.714,96,240,10,32,42,10,27,37
9,ATL,2012-11-19,34,48,18,,ORL,W 81-72,240,18,12,4,13,18,17,6,5,19,19,240,34,89,0.382,29,64,0.453,5,25,0.2,8,13,0.615,81,31,82,0.378,29,72,0.403,2,10,0.2,8,14,0.571,72,240,11,37,48,11,44,55
10,ATL,2012-11-21,40,37,30,,WAS,W 101-100 (OT),265,30,12,5,13,25,20,8,6,20,27,265,40,92,0.435,31,67,0.463,9,25,0.36,12,21,0.571,101,38,89,0.427,31,69,0.449,7,20,0.35,17,24,0.708,100,265,10,27,37,19,39,58
