Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2009-10-28,46,35,30,,IND,W 120-109,240,30,16,6,10,25,23,1,4,25,26,240,46,87,0.529,39,75,0.52,7,12,0.583,21,29,0.724,120,39,73,0.534,29,55,0.527,10,18,0.556,21,25,0.84,109,240,8,27,35,6,34,40
2,ATL,2009-10-30,32,47,18,,WAS,W 100-89,240,18,5,7,12,24,19,5,5,14,23,240,32,78,0.41,27,58,0.466,5,20,0.25,31,34,0.912,100,35,79,0.443,30,66,0.455,5,13,0.385,14,22,0.636,89,240,11,36,47,8,32,40
3,ATL,2009-11-01,40,40,21,@,LAL,L 110-118,240,21,8,3,19,21,26,14,6,15,20,240,40,89,0.449,33,66,0.5,7,23,0.304,23,26,0.885,110,46,87,0.529,41,72,0.569,5,15,0.333,21,25,0.84,118,240,14,26,40,11,31,42
4,ATL,2009-11-03,37,46,21,@,POR,W 97-91,240,21,4,7,11,15,22,7,4,8,20,240,37,80,0.463,32,65,0.492,5,15,0.333,18,22,0.818,97,36,85,0.424,30,64,0.469,6,21,0.286,13,16,0.813,91,240,11,35,46,10,26,36
5,ATL,2009-11-04,46,47,17,@,SAC,W 113-105,240,17,2,10,16,20,18,11,2,7,19,240,46,85,0.541,40,69,0.58,6,16,0.375,15,19,0.789,113,40,96,0.417,35,81,0.432,5,15,0.333,20,27,0.741,105,240,12,35,47,19,24,43
6,ATL,2009-11-06,33,35,10,@,CHA,L 83-103,240,10,7,11,7,20,24,2,7,15,22,240,33,83,0.398,31,67,0.463,2,16,0.125,15,23,0.652,83,39,83,0.47,28,65,0.431,11,18,0.611,14,18,0.778,103,240,7,28,35,12,44,56
7,ATL,2009-11-07,45,44,30,,DEN,W 125-100,240,30,4,9,8,33,17,5,4,10,24,240,45,87,0.517,37,68,0.544,8,19,0.421,27,30,0.9,125,32,78,0.41,30,68,0.441,2,10,0.2,34,41,0.829,100,240,8,36,44,10,26,36
8,ATL,2009-11-11,44,42,23,@,NYK,W 114-101,240,23,7,3,15,19,18,7,2,16,26,240,44,81,0.543,38,68,0.559,6,13,0.462,20,24,0.833,114,40,85,0.471,35,61,0.574,5,24,0.208,16,18,0.889,101,240,9,33,42,9,30,39
9,ATL,2009-11-13,38,47,19,@,BOS,W 97-86,240,19,7,6,13,20,20,6,4,15,23,240,38,84,0.452,34,69,0.493,4,15,0.267,17,23,0.739,97,36,73,0.493,35,58,0.603,1,15,0.067,13,19,0.684,86,240,16,31,47,6,23,29
10,ATL,2009-11-14,48,48,27,,NOH,W 121-98,240,27,10,3,14,19,25,7,3,16,22,240,48,88,0.545,41,68,0.603,7,20,0.35,18,29,0.621,121,40,91,0.44,33,64,0.516,7,27,0.259,11,18,0.611,98,240,17,31,48,14,27,41
11,ATL,2009-11-16,39,47,20,,POR,W 99-95 (OT),265,20,7,5,14,17,24,9,2,17,25,265,39,91,0.429,34,73,0.466,5,18,0.278,16,20,0.8,99,37,80,0.463,30,63,0.476,7,17,0.412,14,17,0.824,95,265,15,32,47,8,29,37
12,ATL,2009-11-18,38,43,23,,MIA,W 105-90,240,23,7,6,8,19,16,3,8,14,28,240,38,89,0.427,30,69,0.435,8,20,0.4,21,28,0.75,105,35,79,0.443,26,58,0.448,9,21,0.429,11,16,0.688,90,240,15,28,43,9,33,42
13,ATL,2009-11-20,39,39,21,,HOU,W 105-103,240,21,6,11,15,22,18,7,0,12,18,240,39,78,0.5,31,58,0.534,8,20,0.4,19,26,0.731,105,39,92,0.424,32,70,0.457,7,22,0.318,18,21,0.857,103,240,15,24,39,20,22,42
14,ATL,2009-11-21,35,52,15,@,NOH,L 88-96,240,15,5,7,6,17,22,3,9,12,16,240,35,94,0.372,31,72,0.431,4,22,0.182,14,17,0.824,88,37,85,0.435,25,68,0.368,12,17,0.706,10,17,0.588,96,240,20,32,52,13,35,48
15,ATL,2009-11-26,33,41,18,,ORL,L 76-93,240,18,8,3,13,20,15,7,6,12,12,240,33,85,0.388,26,66,0.394,7,19,0.368,3,7,0.429,76,35,80,0.438,25,49,0.51,10,31,0.323,13,20,0.65,93,240,11,30,41,13,40,53
16,ATL,2009-11-27,38,42,17,@,PHI,W 100-86,240,17,7,5,14,17,23,8,10,13,16,240,38,74,0.514,29,56,0.518,9,18,0.5,15,20,0.75,100,35,78,0.449,27,60,0.45,8,18,0.444,8,11,0.727,86,240,8,34,42,6,26,32
17,ATL,2009-11-29,37,27,16,@,DET,L 88-94,240,16,7,9,13,19,18,10,1,11,14,240,37,74,0.5,30,53,0.566,7,21,0.333,7,8,0.875,88,40,91,0.44,39,85,0.459,1,6,0.167,13,16,0.813,94,240,6,21,27,24,29,53
18,ATL,2009-12-02,52,51,37,,TOR,W 146-115,240,37,5,6,9,26,25,5,3,9,24,240,52,88,0.591,41,67,0.612,11,21,0.524,31,39,0.795,146,42,82,0.512,32,66,0.485,10,16,0.625,21,34,0.618,115,240,15,36,51,8,21,29
19,ATL,2009-12-04,41,42,21,,NYK,L 107-114,240,21,6,2,6,16,25,6,1,12,21,240,41,90,0.456,37,67,0.552,4,23,0.174,21,29,0.724,107,45,78,0.577,34,53,0.642,11,25,0.44,13,20,0.65,114,240,18,24,42,7,31,38
