Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,WAS,2003-10-29,37,48,25,@,CHI,W 99-74,240,25,12,5,18,22,16,9,8,18,23,240,37,76,0.487,32,64,0.5,5,12,0.417,20,30,0.667,99,26,82,0.317,23,69,0.333,3,13,0.231,19,31,0.613,74,240,11,37,48,18,29,47
2,WAS,2003-10-31,31,37,17,@,TOR,L 79-82,240,17,10,7,12,18,24,9,5,14,13,240,31,70,0.443,30,63,0.476,1,7,0.143,16,21,0.762,79,32,83,0.386,29,74,0.392,3,9,0.333,15,18,0.833,82,240,7,30,37,18,31,49
3,WAS,2003-11-01,34,48,18,,NJN,L 85-98,240,18,8,6,22,23,26,12,4,11,20,240,34,81,0.42,31,67,0.463,3,14,0.214,14,20,0.7,85,37,87,0.425,31,73,0.425,6,14,0.429,18,20,0.9,98,240,19,29,48,14,25,39
4,WAS,2003-11-05,38,48,29,,DAL,W 100-90,240,29,9,9,13,26,22,8,5,15,15,240,38,89,0.427,25,59,0.424,13,30,0.433,11,12,0.917,100,32,85,0.376,30,74,0.405,2,11,0.182,24,30,0.8,90,240,11,37,48,17,29,46
5,WAS,2003-11-07,31,48,18,,TOR,W 86-60,240,18,12,1,15,18,14,8,6,21,21,240,31,78,0.397,26,64,0.406,5,14,0.357,19,26,0.731,86,25,68,0.368,24,60,0.4,1,8,0.125,9,15,0.6,60,240,15,33,48,8,30,38
6,WAS,2003-11-08,40,38,22,@,CLE,L 98-111,240,22,5,5,12,23,30,4,11,11,17,240,40,89,0.449,36,73,0.493,4,16,0.25,14,21,0.667,98,44,84,0.524,42,76,0.553,2,8,0.25,21,31,0.677,111,240,13,25,38,11,31,42
7,WAS,2003-11-11,40,50,20,,PHI,L 105-112,240,20,8,8,20,25,22,14,6,12,21,240,40,87,0.46,33,68,0.485,7,19,0.368,18,27,0.667,105,36,80,0.45,32,72,0.444,4,8,0.5,36,42,0.857,112,240,20,30,50,14,27,41
8,WAS,2003-11-14,39,43,16,@,MIA,L 101-105 (OT),265,16,11,6,15,23,19,6,3,15,26,265,39,87,0.448,35,73,0.479,4,14,0.286,19,28,0.679,101,38,93,0.409,30,73,0.411,8,20,0.4,21,30,0.7,105,265,11,32,43,15,38,53
9,WAS,2003-11-15,28,40,13,,SAS,L 71-95,240,13,7,10,13,22,28,4,9,15,15,240,28,83,0.337,23,70,0.329,5,13,0.385,10,18,0.556,71,38,80,0.475,34,70,0.486,4,10,0.4,15,19,0.789,95,240,10,30,40,9,44,53
10,WAS,2003-11-17,32,44,19,@,ATL,W 106-97,240,19,14,3,15,28,12,8,11,23,30,240,32,82,0.39,26,66,0.394,6,16,0.375,36,48,0.75,106,30,71,0.423,27,58,0.466,3,13,0.231,34,39,0.872,97,240,18,26,44,13,26,39
