Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
7,LAL,2023-11-06,81,38,28,@,MIA,L 107-108,240,28,6,5,17,17,30,11,4,17,14,240,44,81,0.543,36,55,0.655,8,26,0.308,11,14,0.786,107,41,88,0.466,29,51,0.569,12,37,0.324,14,16,0.875,108,240,5,33,38,11,33,44
7,MIA,2023-11-06,88,44,30,,LAL,W 108-107,240,30,11,4,17,14,28,6,5,17,17,240,41,88,0.466,29,51,0.569,12,37,0.324,14,16,0.875,108,44,81,0.543,36,55,0.655,8,26,0.308,11,14,0.786,107,240,11,33,44,5,33,38
6,MIL,2023-11-06,96,48,26,@,BRK,W 129-125,240,26,6,2,10,13,22,2,4,8,16,240,46,96,0.479,30,48,0.625,16,48,0.333,21,24,0.875,129,49,101,0.485,33,56,0.589,16,45,0.356,11,13,0.846,125,240,12,36,48,11,35,46
6,MIN,2023-11-06,85,45,26,,BOS,W 114-109 (OT),265,26,7,5,23,26,20,13,2,16,26,265,44,85,0.518,31,48,0.646,13,37,0.351,13,25,0.52,114,36,92,0.391,25,53,0.472,11,39,0.282,26,34,0.765,109,265,6,39,45,11,34,45
7,NOP,2023-11-06,90,38,24,@,DEN,L 116-134,240,24,6,2,13,18,37,6,5,9,16,240,45,90,0.5,32,60,0.533,13,30,0.433,13,15,0.867,116,51,95,0.537,36,56,0.643,15,39,0.385,17,23,0.739,134,240,8,30,38,11,34,45
7,NYK,2023-11-06,88,48,28,,LAC,W 111-97,240,28,13,1,19,13,21,8,3,22,15,240,41,88,0.466,29,57,0.509,12,31,0.387,17,18,0.944,111,36,73,0.493,25,41,0.61,11,32,0.344,14,16,0.875,97,240,18,30,48,7,24,31
7,OKC,2023-11-06,94,49,27,,ATL,W 126-117,240,27,7,7,13,22,27,8,3,15,16,240,45,94,0.479,31,59,0.525,14,35,0.4,22,23,0.957,126,38,102,0.373,24,60,0.4,14,42,0.333,27,32,0.844,117,240,11,38,49,25,34,59
7,ORL,2023-11-06,85,38,27,,DAL,L 102-117,240,27,6,4,20,24,21,9,6,14,20,240,40,85,0.471,32,58,0.552,8,27,0.296,14,18,0.778,102,41,82,0.5,26,42,0.619,15,40,0.375,20,28,0.714,117,240,6,32,38,5,26,31
6,PHI,2023-11-06,91,45,37,,WAS,W 146-128,240,37,12,7,15,15,31,6,10,19,26,240,51,91,0.56,39,60,0.65,12,31,0.387,32,36,0.889,146,49,96,0.51,35,62,0.565,14,34,0.412,16,20,0.8,128,240,10,35,45,10,28,38
6,SAC,2023-11-06,81,34,22,@,HOU,L 97-122,240,22,5,2,13,22,28,8,4,10,19,240,36,81,0.444,22,41,0.537,14,40,0.35,11,20,0.55,97,43,75,0.573,28,44,0.636,15,31,0.484,21,27,0.778,122,240,12,22,34,5,34,39
7,SAS,2023-11-06,94,36,26,@,IND,L 111-152,240,26,7,5,11,15,38,7,4,14,24,240,40,94,0.426,32,68,0.471,8,26,0.308,23,30,0.767,111,55,95,0.579,35,57,0.614,20,38,0.526,22,23,0.957,152,240,12,24,36,9,40,49
8,UTA,2023-11-06,86,52,32,@,CHI,L 113-130,240,32,1,7,22,20,26,12,3,8,18,240,41,86,0.477,25,43,0.581,16,43,0.372,15,17,0.882,113,48,93,0.516,30,59,0.508,18,34,0.529,16,19,0.842,130,240,17,35,52,10,26,36
6,WAS,2023-11-06,96,38,31,@,PHI,L 128-146,240,31,6,10,19,26,37,12,7,15,15,240,49,96,0.51,35,62,0.565,14,34,0.412,16,20,0.8,128,51,91,0.56,39,60,0.65,12,31,0.387,32,36,0.889,146,240,10,28,38,10,35,45
7,BOS,2023-11-08,91,43,28,@,PHI,L 103-106,240,28,8,6,12,13,20,7,7,12,16,240,36,91,0.396,21,44,0.477,15,47,0.319,16,19,0.842,103,42,95,0.442,33,61,0.541,9,34,0.265,13,15,0.867,106,240,9,34,43,12,44,56
8,BRK,2023-11-08,92,49,22,,LAC,W 100-93,240,22,10,10,14,14,22,10,8,15,15,240,37,92,0.402,22,51,0.431,15,41,0.366,11,13,0.846,100,36,91,0.396,28,55,0.509,8,36,0.222,13,13,1,93,240,14,35,49,11,40,51
7,CHO,2023-11-08,79,47,17,,WAS,L 116-132,240,17,8,5,20,22,26,10,6,10,26,240,41,79,0.519,33,54,0.611,8,25,0.32,26,35,0.743,116,47,97,0.485,29,54,0.537,18,43,0.419,20,25,0.8,132,240,11,36,47,13,27,40
9,CHI,2023-11-08,96,39,30,,PHO,L 115-116 (OT),265,30,12,7,14,22,32,7,10,21,20,265,42,96,0.438,28,63,0.444,14,33,0.424,17,23,0.739,115,38,90,0.422,19,42,0.452,19,48,0.396,21,25,0.84,116,265,9,30,39,13,41,54
8,CLE,2023-11-08,83,41,26,@,OKC,L 120-128,240,26,9,5,18,24,23,10,8,14,27,240,42,83,0.506,33,54,0.611,9,29,0.31,27,37,0.73,120,44,86,0.512,32,58,0.552,12,28,0.429,28,30,0.933,128,240,11,30,41,12,29,41
8,DAL,2023-11-08,84,38,25,,TOR,L 116-127,240,25,4,6,15,21,27,10,4,11,25,240,40,84,0.476,23,43,0.535,17,41,0.415,19,31,0.613,116,49,99,0.495,38,63,0.603,11,36,0.306,18,27,0.667,127,240,6,32,38,15,35,50
9,DEN,2023-11-08,92,45,24,,GSW,W 108-105,240,24,7,4,6,20,21,5,0,9,20,240,41,92,0.446,30,57,0.526,11,35,0.314,15,22,0.682,108,37,86,0.43,26,51,0.51,11,35,0.314,20,26,0.769,105,240,10,35,45,11,38,49
9,DET,2023-11-08,98,53,28,@,MIL,L 118-120,240,28,2,5,17,24,19,8,7,10,18,240,48,98,0.49,41,69,0.594,7,29,0.241,15,16,0.938,118,41,90,0.456,30,53,0.566,11,37,0.297,27,32,0.844,120,240,11,42,53,5,31,36
7,HOU,2023-11-08,93,57,26,,LAL,W 128-94,240,26,4,4,11,23,20,7,6,9,18,240,51,93,0.548,37,60,0.617,14,33,0.424,12,19,0.632,128,36,85,0.424,29,60,0.483,7,25,0.28,15,24,0.625,94,240,14,43,57,5,29,34
