Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,WAS,2005-11-02,41,44,28,@,TOR,W 99-96,240,28,4,4,12,22,21,4,3,16,27,240,41,85,0.482,37,70,0.529,4,15,0.267,13,24,0.542,99,35,88,0.398,26,62,0.419,9,26,0.346,17,20,0.85,96,240,10,34,44,14,34,48
2,WAS,2005-11-04,34,35,17,@,NYK,W 86-75,240,17,10,6,19,28,11,6,3,23,22,240,34,76,0.447,27,57,0.474,7,19,0.368,11,15,0.733,86,27,82,0.329,25,72,0.347,2,10,0.2,19,28,0.679,75,240,10,25,35,29,30,59
3,WAS,2005-11-05,29,46,12,,ORL,W 87-79,240,12,5,12,12,22,12,7,3,10,25,240,29,71,0.408,24,51,0.471,5,20,0.25,24,37,0.649,87,26,83,0.313,23,72,0.319,3,11,0.273,24,35,0.686,79,240,14,32,46,21,31,52
4,WAS,2005-11-09,35,45,20,,LAC,L 97-102,240,20,5,3,8,19,26,2,5,12,25,240,35,94,0.372,31,77,0.403,4,17,0.235,23,29,0.793,97,41,82,0.5,39,77,0.506,2,5,0.4,18,21,0.857,102,240,18,27,45,12,33,45
5,WAS,2005-11-11,48,41,31,,SEA,W 137-96,240,31,10,2,12,27,20,6,1,17,33,240,48,82,0.585,40,65,0.615,8,17,0.471,33,41,0.805,137,31,78,0.397,24,55,0.436,7,23,0.304,27,37,0.73,96,240,13,28,41,15,23,38
6,WAS,2005-11-12,43,40,21,,SAS,W 110-95,240,21,9,3,13,18,14,6,1,14,19,240,43,78,0.551,36,64,0.563,7,14,0.5,17,25,0.68,110,34,83,0.41,26,69,0.377,8,14,0.571,19,22,0.864,95,240,7,33,40,12,27,39
7,WAS,2005-11-15,33,40,19,@,CLE,L 99-114,240,19,7,4,9,21,26,5,7,13,25,240,33,78,0.423,29,61,0.475,4,17,0.235,29,41,0.707,99,42,85,0.494,35,71,0.493,7,14,0.5,23,27,0.852,114,240,11,29,40,12,34,46
8,WAS,2005-11-17,37,31,14,@,MIN,L 98-109,240,14,7,5,11,16,29,6,5,13,19,240,37,80,0.463,29,67,0.433,8,13,0.615,16,19,0.842,98,46,86,0.535,39,73,0.534,7,13,0.538,10,12,0.833,109,240,7,24,31,10,35,45
9,WAS,2005-11-19,31,41,14,@,NJN,L 83-89,240,14,15,5,16,25,27,10,5,19,27,240,31,82,0.378,27,69,0.391,4,13,0.308,17,31,0.548,83,34,77,0.442,31,65,0.477,3,12,0.25,18,28,0.643,89,240,18,23,41,15,29,44
10,WAS,2005-11-22,37,40,23,,DEN,L 105-108,240,23,6,6,14,28,27,7,9,18,30,240,37,91,0.407,31,72,0.431,6,19,0.316,25,33,0.758,105,37,81,0.457,32,67,0.478,5,14,0.357,29,35,0.829,108,240,11,29,40,10,34,44
11,WAS,2005-11-23,31,40,18,@,ORL,L 83-91,240,18,10,5,12,17,20,6,1,18,18,240,31,79,0.392,26,59,0.441,5,20,0.25,16,20,0.8,83,36,76,0.474,30,66,0.455,6,10,0.6,13,17,0.765,91,240,14,26,40,11,32,43
