Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
12,WAS,2005-11-25,36,61,18,@,DET,W 120-114 (2OT),290,18,11,5,11,29,23,3,6,15,32,290,36,100,0.36,26,74,0.351,10,26,0.385,38,46,0.826,120,40,108,0.37,32,80,0.4,8,28,0.286,26,33,0.788,114,290,25,36,61,25,39,64
13,WAS,2005-11-26,30,43,16,@,CHA,L 82-100,240,16,5,2,20,24,21,10,6,18,26,240,30,76,0.395,25,57,0.439,5,19,0.263,17,25,0.68,82,40,88,0.455,35,70,0.5,5,18,0.278,15,26,0.577,100,240,12,31,43,18,32,50
14,WAS,2005-11-30,36,55,17,,POR,W 96-89,240,17,10,5,15,18,17,5,12,18,24,240,36,96,0.375,32,82,0.39,4,14,0.286,20,24,0.833,96,38,83,0.458,35,72,0.486,3,11,0.273,10,17,0.588,89,240,21,34,55,10,40,50
15,WAS,2005-12-02,41,41,19,,MIL,L 102-105,240,19,7,5,12,17,28,6,3,10,21,240,41,80,0.513,36,66,0.545,5,14,0.357,15,23,0.652,102,44,89,0.494,36,70,0.514,8,19,0.421,9,16,0.563,105,240,8,33,41,14,29,43
16,WAS,2005-12-06,45,44,25,,TOR,W 119-111 (OT),265,25,10,5,12,20,26,6,2,16,31,265,45,90,0.5,38,71,0.535,7,19,0.368,22,36,0.611,119,40,84,0.476,31,63,0.492,9,21,0.429,22,27,0.815,111,265,12,32,44,8,34,42
17,WAS,2005-12-08,30,42,15,@,IND,L 87-111,240,15,4,3,6,16,27,3,7,8,22,240,30,88,0.341,26,68,0.382,4,20,0.2,23,29,0.793,87,46,78,0.59,38,62,0.613,8,16,0.5,11,17,0.647,111,240,14,28,42,4,39,43
18,WAS,2005-12-10,36,38,18,,CHI,L 111-118,240,18,13,5,22,26,33,8,4,20,28,240,36,77,0.468,31,62,0.5,5,15,0.333,34,41,0.829,111,48,88,0.545,39,68,0.574,9,20,0.45,13,20,0.65,118,240,11,27,38,10,30,40
19,WAS,2005-12-11,36,48,18,@,MIA,L 101-104 (OT),265,18,5,7,13,33,15,8,7,15,28,265,36,93,0.387,29,69,0.42,7,24,0.292,22,29,0.759,101,35,83,0.422,29,63,0.46,6,20,0.3,28,45,0.622,104,265,13,35,48,13,37,50
20,WAS,2005-12-13,33,43,20,,NJN,W 94-74,240,20,8,0,14,23,16,8,3,13,23,240,33,67,0.493,25,52,0.481,8,15,0.533,20,30,0.667,94,28,71,0.394,25,54,0.463,3,17,0.176,15,23,0.652,74,240,8,35,43,7,23,30
21,WAS,2005-12-16,26,31,15,@,LAL,L 91-97,240,15,7,1,11,27,20,6,8,13,27,240,26,76,0.342,20,52,0.385,6,24,0.25,33,37,0.892,91,34,72,0.472,31,59,0.525,3,13,0.231,26,34,0.765,97,240,8,23,31,13,33,46
22,WAS,2005-12-18,33,35,16,@,POR,L 92-97,240,16,4,6,12,26,26,4,4,13,23,240,33,78,0.423,25,56,0.446,8,22,0.364,18,21,0.857,92,35,77,0.455,30,63,0.476,5,14,0.357,22,31,0.71,97,240,9,26,35,15,29,44
23,WAS,2005-12-19,37,36,24,@,SEA,L 101-111,240,24,7,4,13,23,25,12,2,11,22,240,37,78,0.474,32,61,0.525,5,17,0.294,22,24,0.917,101,38,78,0.487,27,57,0.474,11,21,0.524,24,28,0.857,111,240,11,25,36,10,28,38
24,WAS,2005-12-21,45,45,25,@,DEN,W 116-110,240,25,10,4,21,32,24,15,4,17,27,240,45,84,0.536,42,73,0.575,3,11,0.273,23,33,0.697,116,42,84,0.5,37,69,0.536,5,15,0.333,21,38,0.553,110,240,13,32,45,11,25,36
25,WAS,2005-12-23,41,52,14,@,PHO,W 112-111,240,14,3,0,15,18,27,7,6,6,21,240,41,82,0.5,32,69,0.464,9,13,0.692,21,31,0.677,112,42,86,0.488,30,64,0.469,12,22,0.545,15,20,0.75,111,240,14,38,52,6,24,30
26,WAS,2005-12-26,31,48,13,,LAL,W 94-91,240,13,5,3,12,30,17,8,3,17,28,240,31,81,0.383,26,60,0.433,5,21,0.238,27,33,0.818,94,31,75,0.413,25,56,0.446,6,19,0.316,23,30,0.767,91,240,17,31,48,12,33,45
27,WAS,2005-12-28,41,44,17,,PHO,L 99-104,240,17,7,2,19,23,31,7,3,14,21,240,41,84,0.488,38,69,0.551,3,15,0.2,14,20,0.7,99,41,88,0.466,34,64,0.531,7,24,0.292,15,17,0.882,104,240,9,35,44,9,28,37
28,WAS,2005-12-30,35,42,17,,MIA,L 113-128,240,17,6,3,10,33,26,4,3,14,32,240,35,92,0.38,29,76,0.382,6,16,0.375,37,45,0.822,113,45,82,0.549,39,64,0.609,6,18,0.333,32,44,0.727,128,240,16,26,42,13,39,52
29,WAS,2006-01-03,36,37,23,,HOU,L 111-123,240,23,4,2,9,22,29,7,7,12,31,240,36,85,0.424,26,63,0.413,10,22,0.455,29,33,0.879,111,43,78,0.551,34,61,0.557,9,17,0.529,28,33,0.848,123,240,15,22,37,11,32,43
30,WAS,2006-01-06,34,30,16,@,NYK,L 92-113,240,16,9,3,11,24,19,5,0,19,27,240,34,82,0.415,31,69,0.449,3,13,0.231,21,28,0.75,92,43,79,0.544,40,71,0.563,3,8,0.375,24,31,0.774,113,240,10,20,30,16,33,49
31,WAS,2006-01-07,36,37,22,,BOS,W 103-102,240,22,9,2,11,22,25,4,6,19,28,240,36,83,0.434,33,71,0.465,3,12,0.25,28,38,0.737,103,38,77,0.494,32,59,0.542,6,18,0.333,20,28,0.714,102,240,13,24,37,12,36,48
32,WAS,2006-01-09,33,34,20,,UTA,L 89-97,240,20,9,5,19,21,28,7,3,17,23,240,33,72,0.458,30,64,0.469,3,8,0.375,20,27,0.741,89,37,76,0.487,33,66,0.5,4,10,0.4,19,24,0.792,97,240,8,26,34,10,33,43
33,WAS,2006-01-11,41,52,21,,ATL,W 103-72,240,21,15,7,17,22,15,8,3,23,24,240,41,81,0.506,35,69,0.507,6,12,0.5,15,31,0.484,103,26,66,0.394,24,54,0.444,2,12,0.167,18,26,0.692,72,240,22,30,52,12,19,31
34,WAS,2006-01-13,33,41,13,@,IND,W 94-85,240,13,11,6,11,23,20,4,4,17,23,240,33,72,0.458,30,65,0.462,3,7,0.429,25,34,0.735,94,34,75,0.453,29,63,0.46,5,12,0.417,12,15,0.8,85,240,9,32,41,9,28,37
35,WAS,2006-01-14,35,38,19,@,ATL,W 114-106 (OT),265,19,11,4,13,22,22,4,1,22,36,265,35,80,0.438,30,65,0.462,5,15,0.333,39,51,0.765,114,35,77,0.455,29,62,0.468,6,15,0.4,30,38,0.789,106,265,9,29,38,11,34,45
36,WAS,2006-01-16,37,55,22,,PHI,W 104-76,240,22,8,9,8,18,18,2,5,14,22,240,37,87,0.425,33,73,0.452,4,14,0.286,26,32,0.813,104,26,78,0.333,21,65,0.323,5,13,0.385,19,26,0.731,76,240,21,34,55,17,23,40
37,WAS,2006-01-18,30,34,16,@,ORL,L 98-106,240,16,7,7,9,24,23,6,5,14,31,240,30,75,0.4,23,54,0.426,7,21,0.333,31,41,0.756,98,36,71,0.507,30,59,0.508,6,12,0.5,28,37,0.757,106,240,9,25,34,9,32,41
38,WAS,2006-01-20,43,45,22,,NOK,W 110-99,240,22,5,3,14,16,22,9,2,11,20,240,43,83,0.518,38,73,0.521,5,10,0.5,19,24,0.792,110,38,78,0.487,33,67,0.493,5,11,0.455,18,21,0.857,99,240,13,32,45,9,25,34
39,WAS,2006-01-22,29,40,18,,MEM,L 82-93,240,18,7,5,12,18,23,4,1,10,22,240,29,74,0.392,23,60,0.383,6,14,0.429,18,26,0.692,82,33,76,0.434,25,55,0.455,8,21,0.381,19,23,0.826,93,240,12,28,40,10,31,41
40,WAS,2006-01-25,33,40,16,@,BOS,W 89-87,240,16,9,4,15,21,24,9,7,17,24,240,33,83,0.398,29,72,0.403,4,11,0.364,19,26,0.731,89,36,73,0.493,32,59,0.542,4,14,0.286,11,22,0.5,87,240,15,25,40,11,28,39
41,WAS,2006-01-27,31,53,13,@,CHI,L 79-90,240,13,7,5,16,26,19,6,3,13,18,240,31,86,0.36,27,67,0.403,4,19,0.211,13,20,0.65,79,30,79,0.38,26,63,0.413,4,16,0.25,26,34,0.765,90,240,22,31,53,17,30,47
42,WAS,2006-01-28,36,47,19,,CHA,W 107-97,240,19,2,4,12,22,21,8,2,7,32,240,36,77,0.468,29,61,0.475,7,16,0.438,28,39,0.718,107,37,85,0.435,29,64,0.453,8,21,0.381,15,21,0.714,97,240,11,36,47,7,28,35
43,WAS,2006-01-31,33,46,18,,IND,W 84-79,240,18,8,0,17,16,17,3,3,15,25,240,33,70,0.471,30,61,0.492,3,9,0.333,15,28,0.536,84,27,76,0.355,18,44,0.409,9,32,0.281,16,24,0.667,79,240,10,36,46,11,35,46
44,WAS,2006-02-01,42,33,26,@,TOR,L 112-117,240,26,8,5,11,21,21,4,6,11,23,240,42,81,0.519,33,64,0.516,9,17,0.529,19,27,0.704,112,44,81,0.543,34,61,0.557,10,20,0.5,19,21,0.905,117,240,10,23,33,9,29,38
45,WAS,2006-02-04,33,40,16,,ATL,W 98-85,240,16,5,4,13,30,14,7,7,19,25,240,33,80,0.413,29,70,0.414,4,10,0.4,28,31,0.903,98,24,72,0.333,19,52,0.365,5,20,0.25,32,45,0.711,85,240,11,29,40,20,32,52
46,WAS,2006-02-06,33,40,12,,ORL,W 94-82,240,12,13,4,6,15,21,0,3,18,22,240,33,79,0.418,29,68,0.426,4,11,0.364,24,29,0.828,94,32,68,0.471,29,58,0.5,3,10,0.3,15,21,0.714,82,240,11,29,40,7,31,38
47,WAS,2006-02-08,39,39,22,,GSW,W 129-124,240,22,7,1,16,25,25,10,3,16,41,240,39,78,0.5,36,63,0.571,3,15,0.2,48,55,0.873,129,46,82,0.561,38,56,0.679,8,26,0.308,24,31,0.774,124,240,14,25,39,11,24,35
48,WAS,2006-02-10,37,44,20,,CLE,W 101-89,240,20,3,5,11,16,17,3,1,7,22,240,37,75,0.493,31,62,0.5,6,13,0.462,21,26,0.808,101,32,79,0.405,24,59,0.407,8,20,0.4,17,23,0.739,89,240,9,35,44,11,25,36
49,WAS,2006-02-12,33,44,22,,PHI,W 107-97,240,22,10,6,15,24,23,8,5,18,33,240,33,82,0.402,28,65,0.431,5,17,0.294,36,43,0.837,107,38,84,0.452,35,75,0.467,3,9,0.333,18,25,0.72,97,240,14,30,44,12,29,41
50,WAS,2006-02-13,34,40,10,@,NOK,L 96-97,240,10,6,1,15,18,21,9,1,14,23,240,34,74,0.459,31,65,0.477,3,9,0.333,25,28,0.893,96,42,86,0.488,40,77,0.519,2,9,0.222,11,13,0.846,97,240,12,28,40,16,24,40
51,WAS,2006-02-15,36,47,15,@,DAL,L 97-103,240,15,5,9,15,21,20,4,5,14,22,240,36,83,0.434,32,72,0.444,4,11,0.364,21,27,0.778,97,39,82,0.476,32,63,0.508,7,19,0.368,18,24,0.75,103,240,18,29,47,13,28,41
52,WAS,2006-02-21,30,42,19,,MIN,W 90-78,240,19,8,5,15,17,19,9,3,16,29,240,30,65,0.462,27,51,0.529,3,14,0.214,27,37,0.73,90,34,79,0.43,31,66,0.47,3,13,0.231,7,9,0.778,78,240,12,30,42,9,26,35
53,WAS,2006-02-24,40,46,22,@,CLE,W 102-94,240,22,10,3,10,27,20,6,7,18,19,240,40,82,0.488,30,64,0.469,10,18,0.556,12,23,0.522,102,34,68,0.5,28,51,0.549,6,17,0.353,20,35,0.571,94,240,12,34,46,8,30,38
54,WAS,2006-02-25,35,34,19,,NYK,W 110-89,240,19,11,7,15,27,14,9,0,27,31,240,35,69,0.507,24,52,0.462,11,17,0.647,29,33,0.879,110,29,71,0.408,24,64,0.375,5,7,0.714,26,35,0.743,89,240,8,26,34,18,26,44
55,WAS,2006-02-27,34,24,19,@,MEM,L 98-108,240,19,8,3,14,20,20,5,4,19,24,240,34,74,0.459,24,54,0.444,10,20,0.5,20,25,0.8,98,40,68,0.588,35,55,0.636,5,13,0.385,23,31,0.742,108,240,8,16,24,8,30,38
56,WAS,2006-03-01,36,44,19,,IND,L 93-99,240,19,10,5,12,20,19,7,4,15,25,240,36,86,0.419,34,72,0.472,2,14,0.143,19,31,0.613,93,34,80,0.425,29,61,0.475,5,19,0.263,26,26,1,99,240,18,26,44,13,35,48
57,WAS,2006-03-03,40,48,17,@,PHI,L 113-119,240,17,11,1,13,22,24,4,6,15,24,240,40,93,0.43,33,77,0.429,7,16,0.438,26,34,0.765,113,45,80,0.563,39,62,0.629,6,18,0.333,23,27,0.852,119,240,19,29,48,8,26,34
58,WAS,2006-03-05,40,43,22,,SAC,W 117-107,240,22,7,1,11,25,23,7,5,16,28,240,40,83,0.482,32,64,0.5,8,19,0.421,29,35,0.829,117,41,80,0.513,36,64,0.563,5,16,0.313,20,33,0.606,107,240,14,29,43,14,23,37
59,WAS,2006-03-07,41,36,17,,BOS,L 115-116 (OT),265,17,9,6,18,25,23,8,4,25,28,265,41,87,0.471,35,74,0.473,6,13,0.462,27,32,0.844,115,39,81,0.481,31,60,0.517,8,21,0.381,30,35,0.857,116,265,11,25,36,11,36,47
60,WAS,2006-03-08,39,38,15,@,MIA,L 112-118,240,15,8,2,13,31,22,6,5,13,24,240,39,83,0.47,32,64,0.5,7,19,0.368,27,33,0.818,112,39,75,0.52,30,53,0.566,9,22,0.409,31,41,0.756,118,240,14,24,38,10,28,38
61,WAS,2006-03-11,41,30,20,,DET,W 110-92,240,20,8,3,11,16,18,4,2,16,22,240,41,74,0.554,29,50,0.58,12,24,0.5,16,25,0.64,110,35,72,0.486,30,53,0.566,5,19,0.263,17,20,0.85,92,240,6,24,30,9,29,38
62,WAS,2006-03-14,40,38,20,@,CHA,W 119-114,240,20,6,4,18,29,19,12,2,15,29,240,40,77,0.519,34,57,0.596,6,20,0.3,33,39,0.846,119,40,85,0.471,31,61,0.508,9,24,0.375,25,39,0.641,114,240,7,31,38,12,28,40
63,WAS,2006-03-15,35,55,19,,CHA,W 107-99,240,19,8,4,21,23,22,8,1,11,28,240,35,74,0.473,28,59,0.475,7,15,0.467,30,36,0.833,107,36,90,0.4,26,65,0.4,10,25,0.4,17,22,0.773,99,240,15,40,55,10,23,33
64,WAS,2006-03-17,39,35,18,,DAL,L 94-104,240,18,5,5,12,18,23,8,8,11,17,240,39,88,0.443,34,75,0.453,5,13,0.385,11,15,0.733,94,40,80,0.5,35,69,0.507,5,11,0.455,19,22,0.864,104,240,17,18,35,18,27,45
65,WAS,2006-03-19,38,41,17,,CHI,W 113-104,240,17,9,4,16,23,15,3,2,19,31,240,38,81,0.469,31,63,0.492,7,18,0.389,30,35,0.857,113,38,77,0.494,28,59,0.475,10,18,0.556,18,28,0.643,104,240,10,31,41,10,27,37
66,WAS,2006-03-21,36,42,16,,NJN,L 100-112,240,16,5,3,15,22,24,8,3,9,23,240,36,81,0.444,32,63,0.508,4,18,0.222,24,26,0.923,100,43,77,0.558,36,63,0.571,7,14,0.5,19,22,0.864,112,240,15,27,42,6,25,31
67,WAS,2006-03-23,37,39,16,@,UTA,W 109-97,240,16,5,3,14,28,23,4,4,14,28,240,37,77,0.481,21,52,0.404,16,25,0.64,19,29,0.655,109,36,77,0.468,34,68,0.5,2,9,0.222,23,35,0.657,97,240,11,28,39,14,29,43
68,WAS,2006-03-25,39,45,23,@,LAC,L 101-116,240,23,6,3,13,28,25,9,6,15,23,240,39,95,0.411,34,71,0.479,5,24,0.208,18,28,0.643,101,39,76,0.513,37,65,0.569,2,11,0.182,36,42,0.857,116,240,19,26,45,10,36,46
69,WAS,2006-03-27,42,44,26,@,GSW,W 116-98,240,26,15,8,9,22,25,3,3,20,23,240,42,87,0.483,30,61,0.492,12,26,0.462,20,24,0.833,116,39,86,0.453,27,58,0.466,12,28,0.429,8,21,0.381,98,240,14,30,44,15,30,45
70,WAS,2006-03-28,35,42,14,@,SAC,W 97-84,240,14,9,7,15,23,16,10,7,17,21,240,35,81,0.432,31,67,0.463,4,14,0.286,23,25,0.92,97,33,76,0.434,29,59,0.492,4,17,0.235,14,23,0.609,84,240,11,31,42,12,27,39
71,WAS,2006-03-31,39,37,23,@,HOU,L 103-105,240,23,8,4,10,21,20,3,3,17,20,240,39,86,0.453,30,58,0.517,9,28,0.321,16,21,0.762,103,39,70,0.557,33,57,0.579,6,13,0.462,21,29,0.724,105,240,11,26,37,5,33,38
72,WAS,2006-04-01,37,30,18,@,SAS,L 99-106,240,18,8,5,13,26,20,6,10,14,26,240,37,73,0.507,30,58,0.517,7,15,0.467,18,29,0.621,99,35,76,0.461,29,60,0.483,6,16,0.375,30,41,0.732,106,240,4,26,30,15,34,49
73,WAS,2006-04-04,36,32,23,,NYK,W 105-90,240,23,16,4,16,24,17,10,2,27,29,240,36,73,0.493,31,52,0.596,5,21,0.238,28,37,0.757,105,30,68,0.441,27,56,0.482,3,12,0.25,27,32,0.844,90,240,10,22,32,14,27,41
74,WAS,2006-04-05,45,38,21,@,BOS,W 108-91,240,21,12,5,14,19,14,8,3,21,20,240,45,85,0.529,39,66,0.591,6,19,0.316,12,16,0.75,108,34,71,0.479,29,53,0.547,5,18,0.278,18,22,0.818,91,240,9,29,38,7,30,37
75,WAS,2006-04-07,36,46,19,@,ATL,L 101-114,240,19,5,1,16,29,21,12,7,16,26,240,36,93,0.387,25,66,0.379,11,27,0.407,18,24,0.75,101,33,68,0.485,24,49,0.49,9,19,0.474,39,49,0.796,114,240,21,25,46,13,33,46
76,WAS,2006-04-08,27,33,10,,MIA,L 86-99,240,10,8,3,19,23,28,11,5,18,29,240,27,68,0.397,21,47,0.447,6,21,0.286,26,34,0.765,86,38,82,0.463,31,60,0.517,7,22,0.318,16,21,0.762,99,240,7,26,33,12,34,46
77,WAS,2006-04-10,30,39,17,@,PHI,L 97-105,240,17,9,2,13,21,26,6,5,16,24,240,30,76,0.395,24,57,0.421,6,19,0.316,31,39,0.795,97,39,82,0.476,28,55,0.509,11,27,0.407,16,21,0.762,105,240,8,31,39,12,36,48
78,WAS,2006-04-12,34,43,18,@,MIL,L 97-100,240,18,9,5,19,27,23,10,1,14,23,240,34,78,0.436,26,56,0.464,8,22,0.364,21,32,0.656,97,35,69,0.507,31,51,0.608,4,18,0.222,26,31,0.839,100,240,14,29,43,4,28,32
79,WAS,2006-04-14,39,44,16,@,CHI,L 101-103,240,16,10,10,11,17,29,4,8,17,25,240,39,87,0.448,34,68,0.5,5,19,0.263,18,28,0.643,101,40,85,0.471,27,64,0.422,13,21,0.619,10,12,0.833,103,240,13,31,44,8,34,42
80,WAS,2006-04-16,41,38,16,,CLE,W 104-92,240,16,9,5,11,19,12,6,2,17,26,240,41,89,0.461,35,74,0.473,6,15,0.4,16,22,0.727,104,39,85,0.459,36,73,0.493,3,12,0.25,11,15,0.733,92,240,13,25,38,12,34,46
81,WAS,2006-04-18,39,42,21,,MIL,W 116-103,240,21,10,0,9,22,21,6,1,16,27,240,39,80,0.488,32,59,0.542,7,21,0.333,31,41,0.756,116,35,73,0.479,27,46,0.587,8,27,0.296,25,27,0.926,103,240,17,25,42,10,26,36
82,WAS,2006-04-19,37,44,18,@,DET,W 96-80,240,18,8,2,12,13,19,9,9,14,20,240,37,91,0.407,31,66,0.47,6,25,0.24,16,22,0.727,96,31,77,0.403,26,58,0.448,5,19,0.263,13,22,0.591,80,240,15,29,44,7,34,41
83,WAS,2006-04-22,29,36,15,@,CLE,L 86-97,240,15,7,8,10,21,21,6,4,10,25,240,29,71,0.408,26,49,0.531,3,22,0.136,25,36,0.694,86,38,87,0.437,33,73,0.452,5,14,0.357,16,22,0.727,97,240,9,27,36,20,32,52
84,WAS,2006-04-25,31,40,13,@,CLE,W 89-84,240,13,10,5,11,20,14,8,10,16,22,240,31,78,0.397,23,58,0.397,8,20,0.4,19,29,0.655,89,30,83,0.361,27,71,0.38,3,12,0.25,21,29,0.724,84,240,11,29,40,13,34,47
85,WAS,2006-04-28,34,41,11,,CLE,L 96-97,240,11,5,12,17,21,14,10,2,12,24,240,34,71,0.479,32,58,0.552,2,13,0.154,26,33,0.788,96,35,85,0.412,30,71,0.423,5,14,0.357,22,27,0.815,97,240,7,34,41,11,27,38
86,WAS,2006-04-30,33,39,16,,CLE,W 106-96,240,16,7,3,11,21,15,6,4,22,34,240,33,78,0.423,25,58,0.431,8,20,0.4,32,40,0.8,106,34,68,0.5,25,46,0.543,9,22,0.409,19,25,0.76,96,240,14,25,39,9,30,39
87,WAS,2006-05-03,44,34,23,@,CLE,L 120-121 (OT),265,23,6,1,11,31,15,5,3,12,26,265,44,84,0.524,35,64,0.547,9,20,0.45,23,29,0.793,120,44,81,0.543,43,76,0.566,1,5,0.2,32,43,0.744,121,265,11,23,34,15,31,46
88,WAS,2006-05-05,41,45,27,,CLE,L 113-114 (OT),265,27,6,4,15,22,24,11,3,14,30,265,41,90,0.456,34,70,0.486,7,20,0.35,24,33,0.727,113,43,85,0.506,36,66,0.545,7,19,0.368,21,26,0.808,114,265,17,28,45,9,35,44
1,UTA,2005-11-02,32,50,15,,DAL,W 93-82,240,15,6,15,16,26,10,10,9,15,29,240,32,74,0.432,25,64,0.391,7,10,0.7,22,34,0.647,93,29,77,0.377,26,63,0.413,3,14,0.214,21,31,0.677,82,240,14,36,50,15,29,44
2,UTA,2005-11-04,31,48,20,@,GSW,W 91-85,240,20,7,5,16,28,13,6,9,14,32,240,31,77,0.403,29,67,0.433,2,10,0.2,27,35,0.771,91,29,78,0.372,24,57,0.421,5,21,0.238,22,38,0.579,85,240,16,32,48,16,25,41
3,UTA,2005-11-05,34,55,12,,PHO,L 88-97,240,12,5,6,22,21,26,10,7,9,27,240,34,86,0.395,30,73,0.411,4,13,0.308,16,25,0.64,88,38,88,0.432,32,67,0.478,6,21,0.286,15,15,1,97,240,20,35,55,7,27,34
4,UTA,2005-11-07,34,51,20,@,CHA,W 95-91 (OT),265,20,3,11,22,32,17,12,4,12,37,265,34,76,0.447,30,64,0.469,4,12,0.333,23,40,0.575,95,31,89,0.348,29,77,0.377,2,12,0.167,27,36,0.75,91,265,17,34,51,18,26,44
5,UTA,2005-11-09,31,39,25,@,NJN,L 83-91,240,25,8,2,10,28,26,5,6,14,23,240,31,82,0.378,25,65,0.385,6,17,0.353,15,18,0.833,83,33,67,0.493,29,55,0.527,4,12,0.333,21,32,0.656,91,240,14,25,39,9,35,44
6,UTA,2005-11-11,35,39,23,@,TOR,W 99-84,240,23,4,6,16,26,18,7,6,12,28,240,35,69,0.507,29,54,0.537,6,15,0.4,23,32,0.719,99,29,68,0.426,24,53,0.453,5,15,0.333,21,29,0.724,84,240,9,30,39,7,23,30
7,UTA,2005-11-12,35,39,24,@,CHI,L 98-103,240,24,6,4,14,27,21,5,6,16,25,240,35,76,0.461,29,58,0.5,6,18,0.333,22,31,0.71,98,37,68,0.544,27,49,0.551,10,19,0.526,19,26,0.731,103,240,13,26,39,6,27,33
8,UTA,2005-11-14,22,40,16,,NYK,L 62-73,240,16,8,7,20,26,14,8,8,22,19,240,22,75,0.293,18,57,0.316,4,18,0.222,14,17,0.824,62,27,64,0.422,22,54,0.407,5,10,0.5,14,24,0.583,73,240,12,28,40,9,35,44
9,UTA,2005-11-15,31,37,19,@,SAC,L 83-119,240,19,4,2,17,26,28,11,8,11,23,240,31,79,0.392,28,68,0.412,3,11,0.273,18,26,0.692,83,41,75,0.547,35,61,0.574,6,14,0.429,31,37,0.838,119,240,15,22,37,11,30,41
10,UTA,2005-11-18,34,50,13,@,PHO,L 94-102,240,13,8,4,16,18,31,7,4,16,24,240,34,81,0.42,28,69,0.406,6,12,0.5,20,32,0.625,94,39,80,0.488,26,51,0.51,13,29,0.448,11,18,0.611,102,240,18,32,50,10,31,41
11,UTA,2005-11-19,30,41,24,,MEM,L 72-80,240,24,6,7,9,24,17,5,10,12,16,240,30,81,0.37,26,65,0.4,4,16,0.25,8,11,0.727,72,27,66,0.409,20,46,0.435,7,20,0.35,19,30,0.633,80,240,17,24,41,12,31,43
