Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,WAS,2001-10-30,82,39,23,@,NYK,L 91-93,240,23,11,4,14,27,16,7,2,17,21,240,36,82,0.439,30,69,0.435,6,13,0.462,13,18,0.722,91,32,75,0.427,26,55,0.473,6,20,0.3,23,33,0.697,93,240,9,30,39,13,33,46
2,WAS,2001-11-01,88,45,20,@,ATL,W 98-88,240,20,6,2,14,21,8,7,3,12,22,240,39,88,0.443,35,78,0.449,4,10,0.4,16,24,0.667,98,36,86,0.419,33,74,0.446,3,12,0.25,13,20,0.65,88,240,16,29,45,15,33,48
3,WAS,2001-11-03,74,40,17,,PHI,W 90-76,240,17,11,6,9,19,10,5,3,20,25,240,30,74,0.405,27,68,0.397,3,6,0.5,27,34,0.794,90,30,71,0.423,29,63,0.46,1,8,0.125,15,19,0.789,76,240,11,29,40,12,33,45
4,WAS,2001-11-04,89,45,16,@,DET,L 78-100,240,16,4,3,9,19,26,5,8,8,20,240,34,89,0.382,32,82,0.39,2,7,0.286,8,9,0.889,78,37,80,0.463,28,57,0.491,9,23,0.391,17,19,0.895,100,240,8,37,45,2,44,46
5,WAS,2001-11-07,78,38,18,@,BOS,L 95-104,240,18,5,2,11,20,23,7,4,11,21,240,37,78,0.474,34,66,0.515,3,12,0.25,18,20,0.9,95,41,84,0.488,34,69,0.493,7,15,0.467,15,17,0.882,104,240,9,29,38,13,31,44
6,WAS,2001-11-09,79,27,19,,GSW,L 100-109,240,19,9,1,13,26,22,9,3,23,30,240,34,79,0.43,33,70,0.471,1,9,0.111,31,39,0.795,100,39,75,0.52,35,68,0.515,4,7,0.571,27,34,0.794,109,240,7,20,27,12,33,45
7,WAS,2001-11-11,78,44,15,,SEA,L 84-99,240,15,6,7,17,20,25,9,4,18,24,240,29,78,0.372,26,70,0.371,3,8,0.375,23,30,0.767,84,38,81,0.469,27,60,0.45,11,21,0.524,12,18,0.667,99,240,14,30,44,10,30,40
8,WAS,2001-11-14,77,36,21,,MIL,L 98-107,240,21,5,2,14,27,25,9,4,11,24,240,38,77,0.494,37,72,0.514,1,5,0.2,21,24,0.875,98,35,71,0.493,25,50,0.5,10,21,0.476,27,33,0.818,107,240,10,26,36,5,25,30
9,WAS,2001-11-16,89,42,15,,UTA,L 92-101,240,15,8,5,7,25,32,5,11,14,23,240,32,89,0.36,28,80,0.35,4,9,0.444,24,28,0.857,92,40,77,0.519,38,71,0.535,2,6,0.333,19,23,0.826,101,240,20,22,42,10,32,42
10,WAS,2001-11-20,77,41,19,,CHH,L 88-95,240,19,4,2,17,23,13,9,6,9,16,240,33,77,0.429,28,68,0.412,5,9,0.556,17,19,0.895,88,34,83,0.41,32,74,0.432,2,9,0.222,25,32,0.781,95,240,12,29,41,18,22,40
11,WAS,2001-11-22,100,47,27,@,IND,L 103-110,240,27,6,3,9,20,36,7,5,10,18,240,43,100,0.43,36,86,0.419,7,14,0.5,10,14,0.714,103,46,89,0.517,44,83,0.53,2,6,0.333,16,22,0.727,110,240,17,30,47,11,35,46
12,WAS,2001-11-24,90,54,27,,BOS,W 88-84 (OT),265,27,7,5,16,20,17,9,7,15,21,265,36,90,0.4,36,82,0.439,0,8,0,16,16,1,88,32,88,0.364,26,61,0.426,6,27,0.222,14,17,0.824,84,265,10,44,54,8,35,43
13,WAS,2001-11-27,89,39,20,@,CLE,L 75-94,240,20,6,2,9,13,29,4,9,10,18,240,30,89,0.337,28,80,0.35,2,9,0.222,13,17,0.765,75,41,81,0.506,39,71,0.549,2,10,0.2,10,11,0.909,94,240,14,25,39,8,37,45
14,WAS,2001-11-28,82,36,24,@,PHI,W 94-87,240,24,12,4,10,26,16,5,6,21,18,240,37,82,0.451,33,73,0.452,4,9,0.444,16,18,0.889,94,32,74,0.432,28,63,0.444,4,11,0.364,19,24,0.792,87,240,9,27,36,14,31,45
15,WAS,2001-11-30,74,45,13,@,MIA,W 84-75,240,13,4,4,10,17,16,5,7,8,15,240,33,74,0.446,28,64,0.438,5,10,0.5,13,17,0.765,84,31,82,0.378,26,71,0.366,5,11,0.455,8,10,0.8,75,240,10,35,45,12,29,41
16,WAS,2001-12-01,85,47,15,,ORL,L 87-96,240,15,5,6,13,21,20,6,8,8,27,240,32,85,0.376,31,81,0.383,1,4,0.25,22,28,0.786,87,38,87,0.437,33,68,0.485,5,19,0.263,15,22,0.682,96,240,17,30,47,14,32,46
17,WAS,2001-12-04,76,38,17,@,SAS,L 88-103,240,17,5,7,12,22,26,9,7,10,18,240,35,76,0.461,33,70,0.471,2,6,0.333,16,19,0.842,88,38,82,0.463,30,60,0.5,8,22,0.364,19,28,0.679,103,240,6,32,38,8,29,37
18,WAS,2001-12-06,85,46,17,@,HOU,W 85-82,240,17,2,8,10,22,18,8,2,8,15,240,38,85,0.447,37,79,0.468,1,6,0.167,8,11,0.727,85,30,85,0.353,28,68,0.412,2,17,0.118,20,28,0.714,82,240,14,32,46,18,31,49
19,WAS,2001-12-08,73,47,20,@,DAL,W 102-95,240,20,9,2,15,20,26,8,1,11,28,240,38,73,0.521,36,67,0.537,2,6,0.333,24,33,0.727,102,40,83,0.482,33,65,0.508,7,18,0.389,8,14,0.571,95,240,14,33,47,11,19,30
20,WAS,2001-12-11,83,47,26,@,MEM,W 91-81,240,26,8,6,11,15,22,4,5,13,18,240,39,83,0.47,38,78,0.487,1,5,0.2,12,17,0.706,91,36,89,0.404,31,74,0.419,5,15,0.333,4,9,0.444,81,240,8,39,47,13,33,46
21,WAS,2001-12-12,71,35,20,,MIA,W 82-80,240,20,8,5,13,17,22,6,4,15,20,240,33,71,0.465,31,66,0.47,2,5,0.4,14,19,0.737,82,32,77,0.416,28,65,0.431,4,12,0.333,12,15,0.8,80,240,10,25,35,13,25,38
22,WAS,2001-12-14,82,49,27,,NYK,W 96-80,240,27,6,10,10,28,19,4,5,10,21,240,38,82,0.463,33,72,0.458,5,10,0.5,15,21,0.714,96,29,82,0.354,28,67,0.418,1,15,0.067,21,30,0.7,80,240,12,37,49,10,29,39
