Rk,Team,Date,FGA,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,WAS,2010-10-28,29,25,17,@,ORL,L 83-112,240,17,10,3,13,25,20,5,3,21,22,240,29,78,0.372,25,59,0.424,4,19,0.211,21,30,0.7,83,43,77,0.558,35,53,0.66,8,24,0.333,18,32,0.563,112,240,3,22,25,11,42,53
2,WAS,2010-10-30,38,34,16,@,ATL,L 95-99,240,16,8,13,17,25,19,4,4,16,22,240,38,76,0.5,34,64,0.531,4,12,0.333,15,21,0.714,95,34,81,0.42,29,62,0.468,5,19,0.263,26,30,0.867,99,240,8,26,34,13,30,43
3,WAS,2010-11-02,37,36,24,,PHI,W 116-115 (OT),265,24,15,2,21,24,34,10,3,22,30,265,37,78,0.474,31,66,0.47,6,12,0.5,36,43,0.837,116,44,80,0.55,40,65,0.615,4,15,0.267,23,29,0.793,115,265,9,27,36,7,28,35
4,WAS,2010-11-05,34,37,13,@,NYK,L 91-112,240,13,6,2,23,18,23,11,11,18,21,240,34,75,0.453,30,59,0.508,4,16,0.25,19,22,0.864,91,44,87,0.506,32,58,0.552,12,29,0.414,12,18,0.667,112,240,9,28,37,13,28,41
5,WAS,2010-11-06,39,44,26,,CLE,L 102-107,240,26,8,7,14,19,19,7,2,12,17,240,39,88,0.443,31,67,0.463,8,21,0.381,16,20,0.8,102,39,82,0.476,31,64,0.484,8,18,0.444,21,26,0.808,107,240,11,33,44,5,32,37
6,WAS,2010-11-10,39,51,25,,HOU,W 98-91,240,25,10,10,17,24,20,6,7,14,21,240,39,88,0.443,33,75,0.44,6,13,0.462,14,22,0.636,98,34,87,0.391,28,67,0.418,6,20,0.3,17,19,0.895,91,240,16,35,51,10,34,44
7,WAS,2010-11-12,36,30,27,,CHA,L 85-93,240,27,13,9,12,19,23,5,6,22,14,240,36,86,0.419,31,65,0.477,5,21,0.238,8,10,0.8,85,34,69,0.493,27,53,0.509,7,16,0.438,18,24,0.75,93,240,13,17,30,16,32,48
8,WAS,2010-11-13,40,47,25,@,CHI,L 96-103,240,25,9,6,23,26,24,9,10,14,14,240,40,89,0.449,28,69,0.406,12,20,0.6,4,8,0.5,96,34,76,0.447,25,53,0.472,9,23,0.391,26,34,0.765,103,240,17,30,47,12,28,40
9,WAS,2010-11-16,45,47,28,,TOR,W 109-94,240,28,9,5,16,26,19,8,0,13,18,240,45,80,0.563,39,65,0.6,6,15,0.4,13,19,0.684,109,35,86,0.407,31,75,0.413,4,11,0.364,20,26,0.769,94,240,11,36,47,15,21,36
10,WAS,2010-11-17,31,36,12,@,BOS,L 83-114,240,12,10,5,16,20,32,7,2,14,17,240,31,80,0.388,25,58,0.431,6,22,0.273,15,20,0.75,83,50,76,0.658,42,63,0.667,8,13,0.615,6,13,0.462,114,240,18,18,36,11,29,40
11,WAS,2010-11-19,28,41,14,,MEM,W 89-86,240,14,7,8,15,22,19,10,4,19,29,240,28,74,0.378,25,58,0.431,3,16,0.188,30,35,0.857,89,36,82,0.439,32,68,0.471,4,14,0.286,10,18,0.556,86,240,16,25,41,14,27,41
12,WAS,2010-11-21,48,41,28,@,DET,L 110-115 (OT),265,28,4,6,15,27,23,5,4,9,19,265,48,89,0.539,43,70,0.614,5,19,0.263,9,15,0.6,110,45,92,0.489,38,77,0.494,7,15,0.467,18,28,0.643,115,265,11,30,41,15,29,44
13,WAS,2010-11-23,43,45,25,,PHI,W 116-114 (OT),265,25,8,7,15,21,29,8,6,15,21,265,43,98,0.439,33,75,0.44,10,23,0.435,20,26,0.769,116,43,93,0.462,37,80,0.463,6,13,0.462,22,31,0.71,114,265,15,30,45,14,34,48
14,WAS,2010-11-25,34,38,18,@,ATL,L 96-116,240,18,5,6,11,23,23,6,6,14,24,240,34,88,0.386,30,71,0.423,4,17,0.235,24,26,0.923,96,42,88,0.477,35,70,0.5,7,18,0.389,25,27,0.926,116,240,14,24,38,16,33,49
15,WAS,2010-11-27,36,47,18,,ORL,L 99-100,240,18,10,7,12,25,19,5,4,13,21,240,36,80,0.45,29,64,0.453,7,16,0.438,20,27,0.741,99,36,78,0.462,28,57,0.491,8,21,0.381,20,27,0.741,100,240,16,31,47,10,28,38
16,WAS,2010-11-29,35,39,14,@,MIA,L 94-105,240,14,6,5,13,31,15,6,6,15,21,240,35,84,0.417,32,67,0.478,3,17,0.176,21,29,0.724,94,34,74,0.459,30,62,0.484,4,12,0.333,33,42,0.786,105,240,11,28,39,9,36,45
17,WAS,2010-12-01,38,30,22,@,TOR,L 108-127,240,22,8,5,11,22,28,6,7,11,29,240,38,83,0.458,35,74,0.473,3,9,0.333,29,41,0.707,108,51,88,0.58,45,77,0.584,6,11,0.545,19,27,0.704,127,240,9,21,30,14,38,52
