Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
21,BRK,2013-12-10,39,42,19,,BOS,W 104-96,240,19,4,2,13,16,14,8,1,9,22,240,39,70,0.557,36,58,0.621,3,12,0.25,23,28,0.821,104,35,80,0.438,24,58,0.414,11,22,0.5,15,21,0.714,96,240,8,34,42,10,25,35
22,BRK,2013-12-12,33,42,18,,LAC,W 102-93,240,18,5,0,13,31,15,6,1,14,20,240,33,74,0.446,25,54,0.463,8,20,0.4,28,30,0.933,102,26,70,0.371,20,46,0.435,6,24,0.25,35,52,0.673,93,240,5,37,42,9,34,43
23,BRK,2013-12-13,36,38,24,@,DET,L 99-103,240,24,4,4,12,25,23,2,4,13,21,240,36,79,0.456,24,56,0.429,12,23,0.522,15,20,0.75,99,39,83,0.47,36,73,0.493,3,10,0.3,22,31,0.71,103,240,7,31,38,9,34,43
24,BRK,2013-12-16,47,42,35,,PHI,W 130-94,240,35,10,2,20,20,21,14,0,19,24,240,47,78,0.603,26,43,0.605,21,35,0.6,15,26,0.577,130,37,90,0.411,29,60,0.483,8,30,0.267,12,20,0.6,94,240,4,38,42,8,31,39
25,BRK,2013-12-18,39,31,28,,WAS,L 107-113,240,28,8,5,14,24,19,9,6,16,22,240,39,74,0.527,30,53,0.566,9,21,0.429,20,24,0.833,107,38,88,0.432,26,68,0.382,12,20,0.6,25,30,0.833,113,240,5,26,31,19,32,51
26,BRK,2013-12-20,42,36,36,@,PHI,L 120-121 (OT),265,36,10,5,16,18,36,8,2,17,21,265,42,85,0.494,27,52,0.519,15,33,0.455,21,30,0.7,120,51,100,0.51,42,71,0.592,9,29,0.31,10,15,0.667,121,265,5,31,36,12,37,49
27,BRK,2013-12-23,29,36,21,,IND,L 86-103,240,21,6,4,18,19,16,12,3,17,20,240,29,76,0.382,23,50,0.46,6,26,0.231,22,25,0.88,86,38,83,0.458,29,55,0.527,9,28,0.321,18,19,0.947,103,240,9,27,36,8,38,46
28,BRK,2013-12-25,25,39,11,,CHI,L 78-95,240,11,7,5,16,19,20,10,3,15,22,240,25,71,0.352,20,54,0.37,5,17,0.294,23,31,0.742,78,36,74,0.486,31,57,0.544,5,17,0.294,18,20,0.9,95,240,13,26,39,11,34,45
29,BRK,2013-12-27,34,49,22,,MIL,W 104-93,240,22,5,4,10,23,20,7,7,9,26,240,34,79,0.43,22,53,0.415,12,26,0.462,24,32,0.75,104,33,88,0.375,24,56,0.429,9,32,0.281,18,25,0.72,93,240,9,40,49,12,31,43
30,BRK,2013-12-28,36,28,13,@,IND,L 91-105,240,13,9,4,13,22,28,8,2,17,18,240,36,77,0.468,28,56,0.5,8,21,0.381,11,16,0.688,91,38,71,0.535,30,52,0.577,8,19,0.421,21,25,0.84,105,240,5,23,28,5,36,41
31,BRK,2013-12-31,37,34,24,@,SAS,L 92-113,240,24,8,2,15,24,27,8,6,15,17,240,37,84,0.44,32,69,0.464,5,15,0.333,13,15,0.867,92,40,78,0.513,31,58,0.534,9,20,0.45,24,28,0.857,113,240,11,23,34,14,33,47
32,BRK,2014-01-02,31,34,16,@,OKC,W 95-93,240,16,13,2,19,20,20,9,6,21,23,240,31,70,0.443,22,46,0.478,9,24,0.375,24,31,0.774,95,34,68,0.5,25,46,0.543,9,22,0.409,16,19,0.842,93,240,9,25,34,6,27,33
33,BRK,2014-01-04,31,33,24,,CLE,W 89-82,240,24,4,4,9,18,14,4,3,11,22,240,31,71,0.437,23,47,0.489,8,24,0.333,19,22,0.864,89,29,79,0.367,19,57,0.333,10,22,0.455,14,20,0.7,82,240,6,27,33,14,31,45
34,BRK,2014-01-06,33,43,17,,ATL,W 91-86,240,17,10,5,11,25,21,5,4,18,23,240,33,80,0.413,25,53,0.472,8,27,0.296,17,26,0.654,91,27,70,0.386,19,46,0.413,8,24,0.333,24,26,0.923,86,240,15,28,43,10,29,39
