Rk,Team,Date,FG,TRB,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,ORB,DRB,TRB,ORB,DRB,TRB
1,ATL,2006-11-01,26,42,11,@,PHI,L 75-88,240,11,9,4,18,24,19,10,6,16,22,240,26,78,0.333,22,61,0.361,4,17,0.235,19,22,0.864,75,31,74,0.419,28,65,0.431,3,9,0.333,23,25,0.92,88,240,17,25,42,15,32,47
2,ATL,2006-11-03,39,38,17,,NYK,W 102-92,240,17,8,5,13,25,18,2,2,17,28,240,39,82,0.476,35,68,0.515,4,14,0.286,20,31,0.645,102,33,72,0.458,32,63,0.508,1,9,0.111,25,34,0.735,92,240,15,23,38,11,29,40
3,ATL,2006-11-05,31,39,16,,ORL,W 95-82,240,16,13,4,17,28,8,6,6,21,27,240,31,73,0.425,28,66,0.424,3,7,0.429,30,35,0.857,95,31,74,0.419,29,63,0.46,2,11,0.182,18,29,0.621,82,240,10,29,39,14,28,42
4,ATL,2006-11-07,40,39,25,@,CLE,W 104-95 (OT),265,25,6,6,19,30,18,5,10,11,26,265,40,77,0.519,31,65,0.477,9,12,0.75,15,26,0.577,104,33,91,0.363,27,71,0.38,6,20,0.3,23,37,0.622,95,265,5,34,39,20,27,47
5,ATL,2006-11-10,41,49,17,@,TOR,W 111-102,240,17,5,6,14,20,27,4,4,15,25,240,41,82,0.5,33,57,0.579,8,25,0.32,21,28,0.75,111,41,88,0.466,32,69,0.464,9,19,0.474,11,16,0.688,102,240,10,39,49,10,30,40
6,ATL,2006-11-11,41,47,24,,SEA,L 112-113 (OT),265,24,3,3,14,19,20,4,7,7,24,265,41,84,0.488,32,56,0.571,9,28,0.321,21,33,0.636,112,44,94,0.468,38,76,0.5,6,18,0.333,19,23,0.826,113,265,14,33,47,13,27,40
7,ATL,2006-11-14,38,45,15,,MIL,L 101-103,240,15,8,5,17,29,10,6,1,17,25,240,38,80,0.475,30,57,0.526,8,23,0.348,17,22,0.773,101,37,73,0.507,33,62,0.532,4,11,0.364,25,37,0.676,103,240,15,30,45,10,23,33
8,ATL,2006-11-18,33,49,14,,MIA,L 88-93 (OT),265,14,9,6,10,26,18,6,7,14,26,265,33,89,0.371,30,65,0.462,3,24,0.125,19,30,0.633,88,32,88,0.364,29,73,0.397,3,15,0.2,26,32,0.813,93,265,13,36,49,14,42,56
9,ATL,2006-11-22,31,43,16,@,DET,L 98-103,240,16,5,3,18,26,16,8,4,8,23,240,31,72,0.431,24,59,0.407,7,13,0.538,29,35,0.829,98,36,88,0.409,29,74,0.392,7,14,0.5,24,29,0.828,103,240,12,31,43,18,30,48
10,ATL,2006-11-24,39,42,17,,TOR,W 97-93,240,17,7,5,15,25,17,4,3,16,22,240,39,80,0.488,33,63,0.524,6,17,0.353,13,21,0.619,97,35,79,0.443,29,62,0.468,6,17,0.353,17,21,0.81,93,240,8,34,42,10,32,42
